Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-124(User, Role and Access Management- Deactivate User)",Chrome 100.0.4896.127,,,2022-05-02 21:10:55,2022-05-02 21:17:40,6m - 44.698s,FAILED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-05-02 21:10:56,2022-05-02 21:11:10,14.322s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-02 21:10:57,2022-05-02 21:11:02,4.956s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-02 21:11:02,2022-05-02 21:11:04,2.376s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-02 21:11:04,2022-05-02 21:11:05,0.281s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-02 21:11:05,2022-05-02 21:11:06,1.193s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 21:11:06,2022-05-02 21:11:09,2.776s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 21:11:09,2022-05-02 21:11:10,1.027s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-02 21:11:10,2022-05-02 21:11:10,0.705s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-487(Admin user is able to log in using valid credentials),Chrome 100.0.4896.127,,,2022-05-02 21:11:10,2022-05-02 21:11:23,12.188s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-02 21:11:12,2022-05-02 21:11:14,2.853s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-02 21:11:14,2022-05-02 21:11:17,2.327s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-02 21:11:17,2022-05-02 21:11:17,0.218s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-02 21:11:17,2022-05-02 21:11:18,1.013s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 21:11:18,2022-05-02 21:11:21,2.974s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-02 21:11:21,2022-05-02 21:11:22,1.013s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-02 21:11:22,2022-05-02 21:11:23,0.568s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-488(User is able to click User and Account Management option from the left navigation panel),Chrome 100.0.4896.127,,,2022-05-02 21:11:23,2022-05-02 21:11:59,36.045s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-122/User Account Management""))",Chrome 100.0.4896.127,,,2022-05-02 21:11:23,2022-05-02 21:11:59,35.279s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-124/FCSCMS-489(Admin user is able to click Edit button),Chrome 100.0.4896.127,,,2022-05-02 21:11:59,2022-05-02 21:15:32,3m - 32.906s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit button_ANONYMOUS USER""))",Chrome 100.0.4896.127,,,2022-05-02 21:11:59,2022-05-02 21:12:30,30.395s,PASSED
