Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-125(User, Role and Access Management- Unlock User)",Chrome 100.0.4896.127,,,2022-05-03 16:12:54,2022-05-03 16:18:07,5m - 13.476s,FAILED
,,,,,,,
Test Cases/Log-in/Log-in- 1,Chrome 100.0.4896.127,Log-in,,2022-05-03 16:12:54,2022-05-03 16:13:08,14.198s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-03 16:12:55,2022-05-03 16:12:59,4.337s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-03 16:12:59,2022-05-03 16:13:02,2.468s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-03 16:13:02,2022-05-03 16:13:02,0.215s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-03 16:13:02,2022-05-03 16:13:03,1.095s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-03 16:13:03,2022-05-03 16:13:07,3.466s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-03 16:13:07,2022-05-03 16:13:08,1.072s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-03 16:13:08,2022-05-03 16:13:08,0.646s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-134/FCSCMS-617(Admin user is able to log in using valid credentials),Chrome 100.0.4896.127,,,2022-05-03 16:13:08,2022-05-03 16:13:22,13.925s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-03 16:13:09,2022-05-03 16:13:12,2.705s,PASSED
"navigateToUrl(""https://nexterus-dev.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.127,,,2022-05-03 16:13:12,2022-05-03 16:13:15,3.218s,PASSED
maximizeWindow(),Chrome 100.0.4896.127,,,2022-05-03 16:13:15,2022-05-03 16:13:15,0.221s,PASSED
delay(1),Chrome 100.0.4896.127,,,2022-05-03 16:13:15,2022-05-03 16:13:16,1.016s,PASSED
"setText(findTestObject(""001-Log-in/Username field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-03 16:13:16,2022-05-03 16:13:21,4.406s,PASSED
"setText(findTestObject(""001-Log-in/Password field""), ""admin"")",Chrome 100.0.4896.127,,,2022-05-03 16:13:21,2022-05-03 16:13:22,0.961s,PASSED
"click(findTestObject(""001-Log-in/Log-in button""), STOP_ON_FAILURE)",Chrome 100.0.4896.127,,,2022-05-03 16:13:22,2022-05-03 16:13:22,0.596s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-134/FCSCMS-618(User is able to click User and Account Management option from the left navigation panel),Chrome 100.0.4896.127,,,2022-05-03 16:13:22,2022-05-03 16:13:59,36.160s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-122/User Account Management""))",Chrome 100.0.4896.127,,,2022-05-03 16:13:24,2022-05-03 16:13:59,35.059s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-134/FCSCMS-619(Admin user is able to click Edit button),Chrome 100.0.4896.127,,,2022-05-03 16:13:59,2022-05-03 16:14:30,31.188s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-123/Edit button_ANONYMOUS USER""))",Chrome 100.0.4896.127,,,2022-05-03 16:13:59,2022-05-03 16:14:30,30.403s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-134/FCSCMS-620(Admin user is able to click Lock checkbox button in Edit page),Chrome 100.0.4896.127,,,2022-05-03 16:14:30,2022-05-03 16:16:02,1m - 31.747s,FAILED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-134/User Access Checkbox""))",Chrome 100.0.4896.127,,,2022-05-03 16:14:31,2022-05-03 16:15:01,30.276s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-134/Lock user_Confirmation message""))",Chrome 100.0.4896.127,,,2022-05-03 16:15:01,2022-05-03 16:16:02,1m - 0.707s,FAILED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-134/FCSCMS-621(Admin is able to cancel the process),Chrome 100.0.4896.127,,,2022-05-03 16:16:02,2022-05-03 16:17:03,1m - 1.370s,PASSED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-134/Lock_No""))",Chrome 100.0.4896.127,,,2022-05-03 16:16:02,2022-05-03 16:16:33,30.288s,PASSED
"verifyElementVisible(findTestObject(""Admin/Sprint 4/FCSCMS-134/Verification_User Status_Unlocked""))",Chrome 100.0.4896.127,,,2022-05-03 16:16:33,2022-05-03 16:17:03,30.412s,PASSED
,,,,,,,
Test Cases/Sprint 4/FCSCMS-134/FCSCMS-622(Admin is able to lock a User),Chrome 100.0.4896.127,,,2022-05-03 16:17:03,2022-05-03 16:18:07,1m - 4.233s,FAILED
"click(findTestObject(""Admin/Sprint 4/FCSCMS-134/Locked icon""))",Chrome 100.0.4896.127,,,2022-05-03 16:17:04,2022-05-03 16:18:07,1m - 3.564s,FAILED
